dataset,method,shuffle_positives,neg_suppression,semantic_weight,num_runs,accuracy_mean,delta_vs_grace_accuracy_mean,positive_accuracy,negative_accuracy,zero_accuracy,rpgcl_auto_choice_hpfs,rpgcl_auto_choice_raw_preserved_hpfs,rpgcl_auto_choice_raw_features,rpgcl_auto_oracle_test_accuracy_mean,rpgcl_auto_oracle_gap_mean
CiteSeer,grace,False,False,0.5,10,0.6993235625704624,,0,0,0,0,0,0,,
CiteSeer,hpfs_gcl,False,True,0.5,10,0.7116497557309281,0.012326193160465982,9,1,0,0,0,0,,
CiteSeer,raw_features,False,False,0.5,10,0.6102593010146561,-0.08906426155580613,0,10,0,0,0,0,,
CiteSeer,rpgcl_auto,False,True,0.5,10,0.715295001878993,0.0159714393085306,10,0,0,4,6,0,0.7197670048853815,0.004472003006388581
CiteSeer,rpgcl_hpfs,False,True,0.5,10,0.7188275084554678,0.019503945885005626,10,0,0,0,0,0,,
Cora,grace,False,False,0.5,10,0.7925600739371534,,0,0,0,0,0,0,,
Cora,hpfs_gcl,False,True,0.5,10,0.7994454713493531,0.006885397412199612,7,2,1,0,0,0,,
Cora,raw_features,False,False,0.5,10,0.5919131238447319,-0.20064695009242145,0,10,0,0,0,0,,
Cora,rpgcl_auto,False,True,0.5,10,0.8001386321626619,0.007578558225508314,8,2,0,9,1,0,0.8010166358595197,0.0008780036968576765
Cora,rpgcl_hpfs,False,True,0.5,10,0.7793438077634012,-0.013216266173752312,1,9,0,0,0,0,,
PubMed,grace,False,False,0.5,10,0.8330945286248653,,0,0,0,0,0,0,,
PubMed,hpfs_gcl,False,True,0.5,10,0.8340645406707665,0.0009700120459012473,5,4,1,0,0,0,,
PubMed,raw_features,False,False,0.5,10,0.8316934001141192,-0.0014011285107461858,4,6,0,0,0,0,,
PubMed,rpgcl_auto,False,True,0.5,10,0.8511126608761806,0.018018132251315554,10,0,0,0,10,0,0.8511126608761806,0.0
PubMed,rpgcl_hpfs,False,True,0.5,10,0.8511760603563051,0.018081531731439816,10,0,0,0,0,0,,
